Id;Ingredientes;UltActualizacion
6082544;Harina de trigo, agua, levadura, gluten de trigo, aceite vegetal (girasol), sal, conservadores (E-282, E-200, E-202), vinagre de vino, emulgentes (E-472e, E-481), agente de tratamiento de la harina (E-300, E-341). Puede contener soja y/o semillas de sésamo. Contiene azúcares naturalmente presentes.;09/11/2019 02:01:28
6082542;Harina integral de trigo, agua, harina de trigo, levadura, miel (2,7%), harina integral de trigo espelta (2,7%), azúcar, aceite vegetal (girasol), sal, emulgentes (E 471, E 481), conservadores (E-282, E-202), vinagre de vino, agente de tratamiento de la harina (E 300). Puede contener semillas de sésamo y/o soja.;09/11/2019 02:01:32
6082581;Harina de trigo, agua, aceite vegetal (colza), azúcar, aroma, levadura, sal, gluten de trigo, emulgentes (E-471, E-481), espesante (E-417), conservador (E-282), agente de tratamiento de la harina (E-300). Puede contener trazas de leche y/o huevo y/o semillas de sésamo.;09/11/2019 02:01:36
6082557;Harina de trigo, agua, levadura, aceite vegetal (girasol), sal, conservadores (E 282, E 200), emulgentes (E 471, E 472e), vinagre de vino, harina de haba, almidón de trigo y maíz, agentes de tratamiento de la harina (E 300, E 341). Puede contener semillas de sésamo y/o soja.;09/11/2019 02:01:40
6082537;Harina de trigo, agua, levadura, aceite vegetal (oliva refinado 1.3%), gluten de trigo, sal, azúcar, masa madre de trigo y centeno.;09/11/2019 02:01:44
6082564;Harina de trigo, agua, levadura, aceite de girasol (1%), azúcar, fibra de avena, sal, emulgentes (E-481 y E 471), conservadores (E-200 y E-282), harina de soja, gluten de trigo, estabilizante (E-412), agente de tratamiento de la harina                : ácido ascórbico y aroma. Puede contener trazas de frutos de cáscara, huevos, leche, sésamo y/o productos derivados.;09/11/2019 02:01:48
6082543;"Almidon de maíz, agua, masa madre 14% (harina de arroz, agua), almidon de arroz, jarabe de arroz, fibra vegetal (psyllium), aceite de girasol, harina de mijo 2,6%, proteína de soja, harina de quinoa 1,7%, espesante: hidroxipropilmetilcelulosa; levadura, sal, miel. Puede contener altramuz.";09/11/2019 02:01:52
6082541;Harina de TRIGO, agua, harina de CENTENO, masa madre (3,2%)(contiene TRIGO), levadura, aceite de oliva, fibra vegetal, sal, vinagre, emulgentes: E 471, E 472e (contienen TRIGO), conservadores (E 282, E 200), aroma, agente de tratamiento de la harina: ácido ascórbico (contiene TRIGO). Puede contener SOJA. Contiene SÉSAMO, LECHE.;09/11/2019 02:01:56
6082563;Harina de trigo, agua, aceite de oliva virgen extra (2%), azúcar, levadura, sal, aceite de girasol, fibra de avena, suero de leche en polvo, emulgentes (E-481 y E-471), conservadores (E-282 y E-200), harina de soja, gluten de trigo, estabilizante (goma guar), agente de tratamiento de la harina: ácido ascórbico y aroma. Puede contener trazas de frutos de cáscara, huevos, sésamo y/o productos derivados.;09/11/2019 02:02:01
6082540;"Almidón de maíz, agua, masa madre 14% (harina de arroz, agua), harina de alforfón 8%, harina de arroz, jarabe de arroz, fibra vegetal (psyllium), almidón de arroz, aceite de girasol, proteína de soja, harina de sorgo 2,1%, espesante: hidroxipropilmetilcelulosa; levadura, sal, azúcar.";09/11/2019 02:02:05
6080722;Harina de trigo, agua, levadura, aceite de oliva refinado (1.1%), sal, masa madre 1% (harina de maíz, harina de centeno, microorganismos naturales (L.brevis, P.shermanii), harina de soja, gluten de trigo. Puede contener semillas de sésamo.;09/11/2019 02:02:09
6082575;Harina de trigo, agua, levadura, aceite vegetal (girasol), azúcar, sal, gluten de trigo, almidón de maíz, emulgentes (E-471, E-472e, E-481), conservadores (E-282, E-200, E-202), harina de haba, corrector de acidez (E-341), agente de tratamiento de la harina (E-300). Puede contener trazas de semillas de sésamo y/o soja.;09/11/2019 02:02:13
