Id;DiaCaptura;PVP;PVP_Unidad_Medida;UltActualizacion
5325068;30/10/2019;2,69 €;26,90 € / el kilo;30/10/2019 01:50:39
5325086;29/10/2019;3,20 €;4,92 € / el kilo;30/10/2019 01:48:26
5325093;30/10/2019;3,99 €;7,98 € / el kilo;30/10/2019 01:50:39
5325091;30/10/2019;3,09 €;7,73 € / el kilo;30/10/2019 01:50:39
5325094;30/10/2019;2,85 €;21,92 € / el kilo;30/10/2019 01:50:40
5325090;30/10/2019;2,85 €;14,25 € / el kilo;30/10/2019 01:50:40
5325082;30/10/2019;2,79 €;13,95 € / el kilo;30/10/2019 01:50:40
5325069;30/10/2019;2,40 €;16,00 € / el kilo;30/10/2019 01:50:40
5325073;30/10/2019;2,20 €;22,00 € / el kilo;30/10/2019 01:50:40
5325079;29/10/2019;2,05 €;24,12 € / el kilo;30/10/2019 01:48:27
5325086;30/10/2019;3,20 €;4,92 € / el kilo;30/10/2019 01:50:39
5325079;30/10/2019;2,05 €;24,12 € / el kilo;30/10/2019 01:50:40
5325068;02/11/2019;2,69 €;26,90 € / el kilo;02/11/2019 14:28:27
5325071;02/11/2019;2,80 €;28,00 € / el kilo;02/11/2019 14:28:27
5325086;02/11/2019;3,20 €;4,92 € / el kilo;02/11/2019 14:28:27
5325093;02/11/2019;3,99 €;7,98 € / el kilo;02/11/2019 14:28:27
5325087;02/11/2019;3,75 €;9,38 € / el kilo;02/11/2019 14:28:27
5325091;02/11/2019;3,09 €;7,73 € / el kilo;02/11/2019 14:28:27
5325094;02/11/2019;2,85 €;21,92 € / el kilo;02/11/2019 14:28:28
5325067;02/11/2019;2,99 €;29,90 € / el kilo;02/11/2019 14:28:28
5325090;02/11/2019;2,85 €;14,25 € / el kilo;02/11/2019 14:28:28
5325082;02/11/2019;2,79 €;13,95 € / el kilo;02/11/2019 14:28:28
5325069;02/11/2019;2,40 €;16,00 € / el kilo;02/11/2019 14:28:28
5325073;02/11/2019;2,20 €;22,00 € / el kilo;02/11/2019 14:28:28
5325079;02/11/2019;2,05 €;24,12 € / el kilo;02/11/2019 14:28:28
7801010;02/11/2019;1,12 €;2,24 € / el kilo;02/11/2019 14:25:08
7841010;02/11/2019;1,35 €;4,50 € / el kilo;02/11/2019 14:25:08
7855500;02/11/2019;1,69 €;2,11 € / el kilo;02/11/2019 14:25:08
7891010;02/11/2019;1,65 €;3,30 € / el kilo;02/11/2019 14:25:08
7887910;02/11/2019;1,50 €;3,75 € / el kilo;02/11/2019 14:25:08
7803193;02/11/2019;0,39 €;4,33 € / el kilo;02/11/2019 14:25:08
9856060;02/11/2019;1,20 €;4,80 € / el kilo;02/11/2019 14:25:08
7803129;02/11/2019;3,49 €;3,49 €;02/11/2019 14:25:09
7803100;02/11/2019;1,25 €;6,25 € / el kilo;02/11/2019 14:25:09
7803212;02/11/2019;0,90 €;4,50 € / el kilo;02/11/2019 14:25:09
7803189;02/11/2019;2,19 €;4,38 € / el kilo;02/11/2019 14:25:09
7803229;02/11/2019;4,49 €;4,49 €;02/11/2019 14:25:09
7803191;02/11/2019;0,39 €;5,20 € / el kilo;02/11/2019 14:25:09
7803187;02/11/2019;4,99 €;90,73 € / el kilo;02/11/2019 14:25:09
7802145;02/11/2019;1,49 €;11,46 € / el kilo;02/11/2019 14:25:09
7837025;02/11/2019;1,04 €;2,60 € / el kilo;02/11/2019 14:25:09
7814010;02/11/2019;0,75 €;0,75 €;02/11/2019 14:25:09
7887186;02/11/2019;0,95 €;1,90 € / el kilo;02/11/2019 14:25:10
7810500;02/11/2019;1,99 €;1,99 €;02/11/2019 14:25:10
7860500;02/11/2019;1,15 €;1,15 €;02/11/2019 14:25:10
7887193;02/11/2019;1,29 €;1,29 €;02/11/2019 14:25:10
7853094;02/11/2019;0,79 €;3,16 € / el kilo;02/11/2019 14:25:10
7887192;02/11/2019;0,99 €;0,99 €;02/11/2019 14:25:10
7887120;02/11/2019;0,89 €;0,89 €;02/11/2019 14:25:10
7887191;02/11/2019;1,20 €;1,20 €;02/11/2019 14:25:10
7805010;02/11/2019;2,35 €;2,35 €;02/11/2019 14:25:11
7806010;02/11/2019;1,20 €;1,20 €;02/11/2019 14:25:11
7877098;02/11/2019;0,99 €;1,98 € / el kilo;02/11/2019 14:25:11
7877094;02/11/2019;0,75 €;5,00 € / el kilo;02/11/2019 14:25:11
7877097;02/11/2019;1,80 €;1,80 €;02/11/2019 14:25:11
7877010;02/11/2019;1,65 €;3,67 € / el kilo;02/11/2019 14:25:11
7888504;02/11/2019;1,49 €;3,72 € / el kilo;02/11/2019 14:25:11
7819050;02/11/2019;1,60 €;1,60 € / el kilo;02/11/2019 14:25:11
7817039;02/11/2019;0,62 €;0,62 €;02/11/2019 14:25:11
7817136;02/11/2019;1,50 €;1,50 € / el kilo;02/11/2019 14:25:12
7817090;02/11/2019;1,69 €;0,85 € / el kilo;02/11/2019 14:25:12
7817012;02/11/2019;0,90 €;3,60 € / el kilo;02/11/2019 14:25:12
7817010;02/11/2019;1,35 €;1,35 €;02/11/2019 14:25:12
7817081;02/11/2019;2,10 €;3,00 € / el kilo;02/11/2019 14:25:12
7817087;02/11/2019;1,99 €;1,99 €;02/11/2019 14:25:12
7817910;02/11/2019;1,15 €;4,60 € / el kilo;02/11/2019 14:25:12
7817078;02/11/2019;0,55 €;1,10 € / el kilo;02/11/2019 14:25:12
7817034;02/11/2019;0,75 €;0,75 € / el kilo;02/11/2019 14:25:12
7837034;02/11/2019;0,85 €;0,85 €;02/11/2019 14:25:13
7854010;02/11/2019;1,09 €;2,42 € / el kilo;02/11/2019 14:25:13
7854098;02/11/2019;1,55 €;3,88 € / el kilo;02/11/2019 14:25:13
7856982;02/11/2019;1,00 €;18,18 € / el kilo;02/11/2019 14:25:13
7856990;02/11/2019;2,43 €;24,30 € / el kilo;02/11/2019 14:25:13
9886816;02/11/2019;1,89 €;18,90 € / el kilo;02/11/2019 14:25:13
7894223;02/11/2019;2,99 €;14,95 € / el kilo;02/11/2019 14:25:13
7894211;02/11/2019;2,79 €;39,86 € / el kilo;02/11/2019 14:25:13
7827110;02/11/2019;1,09 €;3,11 € / el kilo;02/11/2019 14:25:14
7853098;02/11/2019;2,25 €;6,43 € / el kilo;02/11/2019 14:25:14
7853097;02/11/2019;1,60 €;3,20 € / el kilo;02/11/2019 14:25:14
7837016;02/11/2019;1,09 €;5,45 € / el kilo;02/11/2019 14:25:14
7853030;02/11/2019;1,05 €;3,00 € / el kilo;02/11/2019 14:25:14
7853010;02/11/2019;0,75 €;3,00 € / el kilo;02/11/2019 14:25:14
7853050;02/11/2019;0,75 €;3,00 € / el kilo;02/11/2019 14:25:14
7853051;02/11/2019;0,69 €;2,76 € / el kilo;02/11/2019 14:25:14
7853040;02/11/2019;1,15 €;3,54 € / el kilo;02/11/2019 14:25:14
7853084;02/11/2019;0,75 €;2,50 € / el kilo;02/11/2019 14:25:15
7883020;02/11/2019;0,79 €;1,58 € / el kilo;02/11/2019 14:25:15
7883098;02/11/2019;1,50 €;3,75 € / el kilo;02/11/2019 14:25:15
9263013;02/11/2019;1,59 €;10,60 € / el kilo;02/11/2019 14:25:15
9263080;02/11/2019;1,59 €;7,95 € / el kilo;02/11/2019 14:25:15
7889075;02/11/2019;1,45 €;6,59 € / el kilo;02/11/2019 14:25:15
7829018;02/11/2019;2,59 €;2,59 €;02/11/2019 14:25:15
7829020;02/11/2019;1,25 €;5,00 € / el kilo;02/11/2019 14:25:15
7829010;02/11/2019;1,17 €;3,90 € / el kilo;02/11/2019 14:25:15
7829093;02/11/2019;1,90 €;11,52 € / el kilo;02/11/2019 14:25:16
7829094;02/11/2019;1,75 €;7,00 € / el kilo;02/11/2019 14:25:16
7840500;02/11/2019;1,28 €;2,84 € / el kilo;02/11/2019 14:25:16
7885671;02/11/2019;4,35 €;14,50 € / el kilo;02/11/2019 14:25:16
7885673;02/11/2019;1,99 €;13,27 € / el kilo;02/11/2019 14:25:16
7885699;02/11/2019;9,25 €;9,25 €;02/11/2019 14:25:16
7885624;02/11/2019;2,49 €;6,23 € / el kilo;02/11/2019 14:25:16
7885622;02/11/2019;1,39 €;6,95 € / el kilo;02/11/2019 14:25:16
7885628;02/11/2019;4,99 €;4,99 €;02/11/2019 14:25:17
7843098;02/11/2019;2,56 €;8,00 € / el kilo;02/11/2019 14:25:17
7843093;02/11/2019;9,25 €;9,25 €;02/11/2019 14:25:17
7843097;02/11/2019;3,99 €;19,95 € / el kilo;02/11/2019 14:25:17
7845089;02/11/2019;1,80 €;3,60 € / el kilo;02/11/2019 14:25:17
7845090;02/11/2019;1,86 €;3,72 € / el kilo;02/11/2019 14:25:17
