Id;Nombre;PVP;PVP_Unidad_Medida;Cantidad_Neta;URL_Producto;URL_Imagen;UltActualizacion
7801010;Acelgas manojo 1ª peso mínimo 500 grs. unidad;1,12 €;2,24 € / el kilo;0;https://www.gadisline.com/producto/?productID=7801010;https://www.gadisline.com/resources/images/7801010_F_001.jpg?x75742;02/11/2019 14:25:08
7841010;Espinacas manojo categoría 1ª peso mínimo 300...;1,35 €;4,50 € / el kilo;0;https://www.gadisline.com/producto/?productID=7841010;https://www.gadisline.com/resources/images/7841010_F_001.jpg?x75742;02/11/2019 14:25:08
7855500;Nabizas manojo 1ª (peso mínimo 800 grs.) unidad;1,69 €;2,11 € / el kilo;0;https://www.gadisline.com/producto/?productID=7855500;https://www.gadisline.com/resources/images/7855500_F_001.jpg?x75742;02/11/2019 14:25:08
7891010;Verdura rizada manojo categoría 1ª (peso mínimo...;1,65 €;3,30 € / el kilo;0;https://www.gadisline.com/producto/?productID=7891010;https://www.gadisline.com/resources/images/7891010_F_001.jpg?x75742;02/11/2019 14:25:08
7887910;Xenos repollo sin acogollar manojo categoría 1ª...;1,50 €;3,75 € / el kilo;0;https://www.gadisline.com/producto/?productID=7887910;https://www.gadisline.com/resources/images/7887910_F_001.jpg?x75742;02/11/2019 14:25:08
7803193;Ajo blanco elefante 1ª calibre 68 (1 cabeza peso...;0,39 €;4,33 € / el kilo;0;https://www.gadisline.com/producto/?productID=7803193;https://www.gadisline.com/resources/images/7803193_F_001.jpg?x75742;02/11/2019 14:25:08
9856060;Ajo blanco extra calibre 55/62 mm.butti 4 unidades...;1,20 €;4,80 € / el kilo;0;https://www.gadisline.com/producto/?productID=9856060;https://www.gadisline.com/resources/images/9856060_F_001.jpg?x75742;02/11/2019 14:25:08
7803129;Ajo blanco yumbo calibre 62/68 mm. kilo;3,49 €;3,49 €;0;https://www.gadisline.com/producto/?productID=7803129;https://www.gadisline.com/resources/images/7803129_F_001.jpg?x75742;02/11/2019 14:25:09
7803100;Ajo ecológico calibre 0/62 malla 4 unidades...;1,25 €;6,25 € / el kilo;0;https://www.gadisline.com/producto/?productID=7803100;https://www.gadisline.com/resources/images/7803100_F_001.jpg?x75742;02/11/2019 14:25:09
7803212;Ajo morado calibre 45/55 mm.butti 5 unidades 200...;0,90 €;4,50 € / el kilo;0;https://www.gadisline.com/producto/?productID=7803212;https://www.gadisline.com/resources/images/7803212_F_001.jpg?x75742;02/11/2019 14:25:09
7803189;Ajo morado diente gordo calibre 55mm+ malla 500...;2,19 €;4,38 € / el kilo;0;https://www.gadisline.com/producto/?productID=7803189;https://www.gadisline.com/resources/images/7803189_F_001.jpg?x75742;02/11/2019 14:25:09
7803229;Ajo morado super calibre 50/60 mm. kilo;4,49 €;4,49 €;0;https://www.gadisline.com/producto/?productID=7803229;https://www.gadisline.com/resources/images/7803229_F_001.jpg?x75742;02/11/2019 14:25:09
7803191;Ajo morado Yumbo C-62+ (1 cabeza peso mínimo 75...;0,39 €;5,20 € / el kilo;0;https://www.gadisline.com/producto/?productID=7803191;https://www.gadisline.com/resources/images/7803191_F_001.jpg?x75742;02/11/2019 14:25:09
7803187;Ajo negro ecológico (2 piezas) 55 grs.;4,99 €;90,73 € / el kilo;0;https://www.gadisline.com/producto/?productID=7803187;https://www.gadisline.com/resources/images/7803187_F_001.jpg?x75742;02/11/2019 14:25:09
7802145;Ajo puerro tierno bandeja 130 grs.;1,49 €;11,46 € / el kilo;0;https://www.gadisline.com/producto/?productID=7802145;https://www.gadisline.com/resources/images/7802145_F_001.jpg?x75742;02/11/2019 14:25:09
7837025;Calabaza troceada bolsa 400 grs.;1,04 €;2,60 € / el kilo;0;https://www.gadisline.com/producto/?productID=7837025;https://www.gadisline.com/resources/images/7837025_F_001.jpg?x75742;02/11/2019 14:25:09
7814010;Calabaza violín 1ª kilo;0,75 €;0,75 €;0;https://www.gadisline.com/producto/?productID=7814010;https://www.gadisline.com/resources/images/7814010_F_001.jpg?x75742;02/11/2019 14:25:09
7887186;Brécol 1ª 500 grs.;0,95 €;1,90 € / el kilo;0;https://www.gadisline.com/producto/?productID=7887186;https://www.gadisline.com/resources/images/7887186_F_001.jpg?x75742;02/11/2019 14:25:10
7810500;Brécol categoría 1ª kilo;1,99 €;1,99 €;0;https://www.gadisline.com/producto/?productID=7810500;https://www.gadisline.com/resources/images/7810500_F_001.jpg?x75742;02/11/2019 14:25:10
7860500;Col lombarda (peso mínimo 500 grs.) kilo;1,15 €;1,15 €;0;https://www.gadisline.com/producto/?productID=7860500;https://www.gadisline.com/resources/images/7860500_F_001.jpg?x75742;02/11/2019 14:25:10
7887193;Coliflor categoría 1ª (peso mínimo 1.200...;1,29 €;1,29 €;0;https://www.gadisline.com/producto/?productID=7887193;https://www.gadisline.com/resources/images/7887193_F_001.jpg?x75742;02/11/2019 14:25:10
7853094;Pak choi verde bolsa 2 unidades 250 grs.;0,79 €;3,16 € / el kilo;0;https://www.gadisline.com/producto/?productID=7853094;https://www.gadisline.com/resources/images/7853094_F_001.jpg?x75742;02/11/2019 14:25:10
7887192;Repollo liso categoría 1ª (peso mínimo 1.100...;0,99 €;0,99 €;0;https://www.gadisline.com/producto/?productID=7887192;https://www.gadisline.com/resources/images/7887192_F_001.jpg?x75742;02/11/2019 14:25:10
7887120;Repollo rizo categoría 1ª (peso mínimo 1.100...;0,89 €;0,89 €;0;https://www.gadisline.com/producto/?productID=7887120;https://www.gadisline.com/resources/images/7887120_F_001.jpg?x75742;02/11/2019 14:25:10
